CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
34,50,F,2,Unknown,Married,Less than $40K,Blue,40,3,1,0,9464.062702221847,699,8765.062702221847,1.6457935465534976,4613,91,0.008416703377155055,0.193917079183211
35,42,F,3,High School,Married,$60K - $80K,Blue,31,4,1,2,10053.604594042601,0,10053.604594042601,1.0814733106148935,5266,71,0.0,0.7869897953790558
36,38,F,4,Doctorate,Single,$120K +,Blue,42,4,6,5,9959.296638003003,2046,7913.296638003003,0.4506812741597396,1098,18,0.0,0.6934908903931772
37,45,F,0,High School,Married,Less than $40K,Blue,36,1,0,1,8107.295250254838,671,7436.295250254838,0.973913836119437,4758,76,0.8889103877767353,0.0
38,28,M,0,High School,Married,$120K +,Blue,29,5,0,6,8476.043287212748,1151,7325.043287212748,0.6716856782783728,625,10,0.0,0.6418696449510344
39,66,F,4,Graduate,Married,$60K - $80K,Silver,41,5,0,2,5373.939675402009,0,5373.939675402009,0.00748508774730916,4818,63,0.6477652887927756,0.31996556066439097
40,39,M,2,Unknown,Married,Less than $40K,Blue,43,6,5,3,21634.73296559939,0,21634.73296559939,0.0,4652,71,0.057122171512629105,0.0
41,36,F,2,College,Divorced,Less than $40K,Blue,39,2,6,1,1438.3,0,1438.3,0.0,7573,91,2.5872097725296994,0.0
42,40,F,2,Uneducated,Married,$60K - $80K,Blue,24,3,5,0,1438.3,2269,3.0,2.0979299063371366,3252,44,0.0,0.2831172095397857
43,40,M,2,Doctorate,Single,$40K - $60K,Blue,33,6,0,0,3302.225828665666,931,2371.225828665666,0.0,5403,76,0.6108969574544303,0.0
44,31,F,1,Doctorate,Single,Less than $40K,Blue,56,4,4,3,7963.72396542993,28,7935.72396542993,1.210791883269505,5806,80,2.156812670694814,0.4966806115724486
45,48,M,5,Graduate,Married,$60K - $80K,Blue,36,3,2,3,6649.841241736503,770,5879.841241736503,0.0,2064,58,1.5297772449083746,0.09108585630418733
46,42,M,3,Graduate,Single,Less than $40K,Blue,46,3,2,0,16552.5759577803,456,16096.5759577803,0.13678218538599152,3368,41,0.0,0.04253390074249984
47,52,F,1,Unknown,Single,Less than $40K,Blue,36,2,2,4,13543.952554534237,1505,12038.952554534237,1.684186988462359,1312,38,0.0,0.24772478469209575
48,43,F,3,Graduate,Single,$40K - $60K,Blue,40,6,0,6,11999.79858572274,0,11999.79858572274,0.11571021058428077,4506,64,3.498996299184387,0.013749259312456342
49,53,F,2,Unknown,Married,$40K - $60K,Blue,36,1,3,2,1438.3,1281,157.29999999999995,0.0,1966,38,0.2876841436849152,0.5029833492343241
50,46,M,2,Unknown,Married,$80K - $120K,Blue,45,3,3,2,17053.9019588443,0,17053.9019588443,0.0,1493,25,1.3284685423932205,0.2391848527125442
51,37,F,0,Graduate,Single,Less than $40K,Blue,38,5,5,1,1438.3,2133,3.0,0.3547373649433262,3016,42,0.0,0.1554284241346492
52,40,F,1,College,Single,$80K - $120K,Blue,24,4,2,4,5389.966430630065,0,5389.966430630065,0.38030947087553807,6133,80,0.5965172880652373,0.06648183446148151
53,43,M,0,Post-Graduate,Single,$80K - $120K,Silver,55,3,4,2,18431.550075695417,288,18143.550075695417,0.0,5422,73,0.0,0.0
54,48,M,1,Uneducated,Married,Unknown,Blue,43,1,3,1,9972.922890270951,0,9972.922890270951,3.397,1249,22,0.035454699016766955,0.0
55,38,M,4,Graduate,Single,Less than $40K,Blue,33,3,0,2,1438.3,255,1183.3,0.7663533454913647,2924,38,1.2132080655472506,0.0
56,35,M,3,Unknown,Married,Less than $40K,Blue,21,2,0,3,8754.307279218341,0,8754.307279218341,1.1934822464671186,1719,47,0.41156390110863034,0.0
57,51,F,1,Unknown,Unknown,$80K - $120K,Blue,31,2,5,5,5792.088288230386,324,5468.088288230386,1.7063998319577784,2155,26,1.0784413203354093,0.3283700544446928
58,35,F,2,Unknown,Divorced,$60K - $80K,Blue,30,3,4,3,1438.3,511,927.3,1.3959324871569818,4711,63,0.33593199599397544,0.4077057915052471
59,54,F,4,High School,Single,$80K - $120K,Blue,42,4,3,5,11251.944728306582,1013,10238.944728306582,1.6722659976224556,3666,53,0.0,0.44285049080193195
60,47,F,3,Uneducated,Single,$40K - $60K,Blue,56,5,0,0,1438.3,460,978.3,0.0,3308,64,0.7809219560952863,0.402727425911078
61,44,F,3,Unknown,Divorced,$40K - $60K,Blue,30,5,1,3,1438.3,1840,3.0,0.5072038362895495,5625,75,2.631496717377139,0.0
62,40,M,1,Uneducated,Married,$80K - $120K,Blue,38,3,5,4,1438.3,1930,3.0,2.3619745284932785,3642,49,0.0987611632947557,0.17362385856782955
63,52,M,2,Doctorate,Single,$60K - $80K,Blue,45,2,1,2,15843.0556720573,533,15310.0556720573,0.8197528024314257,5711,73,0.661438632293802,0.31846284478902104
64,50,M,4,Graduate,Married,$60K - $80K,Blue,36,4,0,2,19457.406292168933,385,19072.406292168933,0.15305049538959747,1351,26,1.16717247959234,0.5533775441238639
65,45,F,5,Graduate,Divorced,Unknown,Blue,21,6,2,6,16592.52279435697,1181,15411.52279435697,1.6140081316413724,6179,77,2.1318857270521776,0.371611873361943
66,36,M,1,High School,Unknown,Less than $40K,Blue,23,3,4,3,14700.08224282255,1543,13157.08224282255,0.0,1001,16,2.0531545326994176,0.9928904231810786
67,46,M,1,Post-Graduate,Married,Less than $40K,Blue,29,6,4,4,14237.501838453594,0,14237.501838453594,2.514903801864313,1925,27,2.3567781083224215,0.2263165158062289
68,59,M,4,Graduate,Single,$120K +,Blue,31,1,1,1,19122.723906107705,1164,17958.723906107705,1.4076384699485973,4200,45,0.0,0.4171847541840881
69,55,M,3,Uneducated,Single,$80K - $120K,Blue,39,5,1,4,31883.64752158403,0,31883.64752158403,1.5301165744868923,3071,51,0.0,0.0
70,37,M,0,Uneducated,Single,$60K - $80K,Blue,35,5,0,5,13385.495130864316,606,12779.495130864316,1.9080397221627163,4697,76,1.5408953957897908,0.5464207600418065
71,34,M,5,High School,Single,Less than $40K,Gold,36,4,1,3,19205.659057374512,0,19205.659057374512,1.1314852118360408,1756,29,0.0,0.0
72,44,F,1,College,Single,Less than $40K,Blue,39,5,2,1,3738.7804366627915,1325,2413.7804366627915,0.6610433029774192,3643,77,0.5326135361421098,0.46795746316296905
73,47,F,0,High School,Single,Less than $40K,Blue,36,3,4,3,4757.527472895854,1040,3717.527472895854,0.0,3351,42,1.6294845443854342,0.24372228759392528
74,49,F,0,High School,Unknown,Less than $40K,Blue,31,6,0,3,6327.089482262416,997,5330.089482262416,0.0,1001,17,0.2556046384292531,0.4189990435097375
75,44,M,4,College,Single,Unknown,Silver,53,6,2,6,6933.123936363278,1211,5722.123936363278,2.2874138492772498,9100,117,2.9637371246670576,0.3708118145310537
76,38,F,0,Unknown,Single,Less than $40K,Blue,32,4,3,2,20655.91383466224,786,19869.91383466224,0.0,3847,59,0.0,0.0
77,43,M,2,Graduate,Single,Less than $40K,Blue,37,4,0,6,13250.64086372894,1223,12027.64086372894,0.5706047815268552,5015,58,1.6843639495050131,0.35631152567065133
78,62,F,3,Graduate,Married,$80K - $120K,Blue,37,4,2,4,2344.08328633412,0,2344.08328633412,0.21452758126225946,3388,51,0.0,0.0
79,49,F,3,Post-Graduate,Single,$40K - $60K,Blue,34,5,0,5,3363.7154029128524,1181,2182.7154029128524,0.9026460035597254,910,20,0.6510041855036345,0.5365704894563477
80,37,M,1,Graduate,Divorced,Less than $40K,Blue,50,3,1,3,11255.05653970661,820,10435.05653970661,1.205738187718907,6687,78,0.0,0.37012889181152364
81,40,M,5,Graduate,Married,Less than $40K,Blue,31,2,6,6,5430.097535883861,0,5430.097535883861,2.099828943491999,2011,45,2.6342876730056504,0.41344558404419696
82,66,F,1,Graduate,Married,$40K - $60K,Blue,40,5,2,4,1438.3,353,1085.3,0.0,7565,118,0.0,0.05423985930411884
83,54,M,0,Graduate,Single,Less than $40K,Silver,47,4,0,5,22020.626215097705,511,21509.626215097705,0.17261707658950565,1621,17,0.0,0.23366253563183426
84,44,M,0,Doctorate,Single,Less than $40K,Blue,35,3,4,4,4314.647956596775,67,4247.647956596775,2.0615045262386227,2528,39,0.0,0.0
85,44,M,2,Uneducated,Married,Less than $40K,Blue,45,3,3,2,14525.855173358808,0,14525.855173358808,0.10240623322912701,1373,26,2.293791973833329,0.258956963577154
86,53,M,1,Graduate,Unknown,$80K - $120K,Blue,31,2,3,4,4130.02421687354,0,4130.02421687354,0.9639552590787457,5484,75,0.0,0.0
87,39,M,1,Unknown,Divorced,Less than $40K,Blue,31,3,0,6,10995.031337089204,97,10898.031337089204,0.17578297914945495,986,10,1.5260110273564262,0.0
88,52,F,2,Unknown,Divorced,$60K - $80K,Blue,34,4,4,3,4801.12540026872,1030,3771.12540026872,0.5633436194315832,3811,70,0.0,0.16145633452329594
89,48,F,0,Unknown,Married,$60K - $80K,Blue,40,4,0,1,5457.3548484682415,893,4564.3548484682415,0.0,3534,95,0.6143747506666288,0.6408577285019308
90,49,M,2,Post-Graduate,Single,$120K +,Gold,45,2,2,2,5525.970940176877,120,5405.970940176877,0.4211989824174036,656,10,2.7966087093657563,0.10338071992590714
91,45,M,0,Unknown,Married,$40K - $60K,Blue,40,4,0,4,1438.3,2161,3.0,0.4085878879302278,3050,55,0.6158284997267348,0.7755941366175613
92,36,F,2,College,Single,Less than $40K,Blue,30,4,2,2,9860.36780767062,0,9860.36780767062,1.0897342805635095,4372,60,0.0,0.10843150791126407
93,56,F,3,Uneducated,Divorced,Less than $40K,Blue,32,1,2,0,5071.028290610093,2517,2554.028290610093,0.4907210268848423,2496,40,1.4512054010437456,0.060961399332336796
94,26,F,5,Graduate,Married,$80K - $120K,Blue,38,6,4,4,19746.23921387092,835,18911.23921387092,1.061472009505996,5320,80,2.437222007292643,0.0
95,39,F,1,Unknown,Married,$60K - $80K,Blue,56,1,0,4,27679.20465189696,0,27679.20465189696,1.5137874954590205,2834,72,0.34388134640119805,0.012395185044055401
96,51,F,4,Uneducated,Married,Less than $40K,Blue,44,3,3,3,8861.30920930512,325,8536.30920930512,0.11963974026898094,4731,77,0.0,0.0
97,46,F,0,Uneducated,Single,$40K - $60K,Blue,47,4,4,1,10919.804363673491,0,10919.804363673491,1.1402480792703273,6737,104,0.0,0.9322993585517305
98,54,M,5,Post-Graduate,Single,Less than $40K,Blue,32,3,1,4,21963.325963824715,1284,20679.325963824715,1.3455541653565337,3533,45,0.0,0.05972861276228246
99,47,M,3,Post-Graduate,Divorced,$40K - $60K,Blue,34,2,4,2,1438.3,1215,223.29999999999995,0.5851286585267399,1064,20,0.24726310307094124,0.13000529745916886
100,46,M,3,Uneducated,Single,$120K +,Blue,39,1,6,3,7990.360707536674,0,7990.360707536674,1.4700290486336614,3608,56,1.4104733840691572,0.0863511233711586
101,46,F,2,High School,Single,$120K +,Blue,16,3,3,2,22077.359931233575,934,21143.359931233575,0.0,5343,82,2.7878764309025788,0.0
102,41,F,3,Unknown,Single,Less than $40K,Blue,30,1,4,1,15106.614986061733,811,14295.614986061733,1.1909175171006505,6281,78,1.8599537657084255,0.0
103,50,M,3,Graduate,Single,$40K - $60K,Blue,33,2,5,2,1438.3,468,970.3,0.0,6262,68,2.4783993225606253,0.0
104,54,F,5,Graduate,Married,$40K - $60K,Blue,39,2,4,2,1438.3,505,933.3,1.165627867101485,5157,71,0.0,0.08731737562181142
105,37,F,0,Doctorate,Single,Less than $40K,Blue,27,3,1,6,7706.706489158949,0,7706.706489158949,0.0,4903,61,0.0,0.63409235116822
106,51,M,1,High School,Single,$40K - $60K,Blue,28,5,2,4,11756.23214562519,2517,9239.23214562519,0.015863849726298396,7031,93,1.442905899100239,0.30017984551225885
107,38,F,0,Unknown,Unknown,$60K - $80K,Blue,38,6,4,4,11783.947619479852,0,11783.947619479852,2.8253698218942933,5776,84,0.0,0.0448683018332401
108,43,F,4,High School,Divorced,Less than $40K,Blue,20,2,1,0,16138.990058073237,860,15278.990058073237,0.0,3086,38,1.1970537953603528,0.4011965884845474
109,54,F,4,Unknown,Single,$60K - $80K,Blue,20,5,1,1,7742.571868396439,0,7742.571868396439,0.0,3063,55,0.0,0.24371372193340443
110,46,F,1,Graduate,Married,Less than $40K,Blue,30,4,0,0,7849.325538195684,0,7849.325538195684,1.9594296913329432,3373,49,0.18314927647122758,0.07547999115185947
111,52,F,2,Graduate,Married,Unknown,Blue,30,6,5,5,29779.00310969128,0,29779.00310969128,0.738935330438117,3585,50,0.0,0.0
112,46,M,0,High School,Married,Less than $40K,Blue,37,6,2,3,3385.3489034248805,1225,2160.3489034248805,0.0,3682,56,2.024185592334746,0.8233441552719719
113,61,F,3,Unknown,Married,Less than $40K,Blue,44,4,2,6,10320.941014238502,1341,8979.941014238502,0.0,3798,49,1.7991825874071532,0.0
114,47,M,2,Graduate,Married,$120K +,Blue,29,4,1,3,1438.3,0,1438.3,0.0,1392,21,0.7759662602191799,0.28679301076646435
115,30,F,2,College,Unknown,$80K - $120K,Blue,37,3,1,2,12125.074702598973,2324,9801.074702598973,0.275326041603607,6473,70,0.4089050226989634,0.04985525152608018
116,49,F,3,Graduate,Single,Less than $40K,Blue,47,5,3,1,4007.7754480275544,1888,2119.7754480275544,0.5011743932169972,510,10,0.9719361464949141,0.4917229687008052
117,46,M,4,Post-Graduate,Single,$80K - $120K,Blue,24,3,2,3,1438.3,687,751.3,0.841339790059635,5882,93,1.9725471619729364,0.036315847695006065
118,48,F,0,Unknown,Married,Less than $40K,Silver,26,5,2,6,25218.603882680618,2183,23035.603882680618,1.6717269736230174,2676,33,1.5005658663182428,0.22067149652296697
119,26,M,1,Uneducated,Married,Less than $40K,Blue,19,5,5,0,15744.482945930238,1715,14029.482945930238,1.9395552663594742,2499,65,1.0293098682401536,0.022991079280958338
120,44,F,4,Graduate,Married,Less than $40K,Blue,23,1,0,2,16298.58199502599,899,15399.58199502599,0.7437369821780306,3613,74,2.0885724518836386,0.0
121,34,M,2,High School,Divorced,$60K - $80K,Blue,47,4,4,3,6474.113029873753,1335,5139.113029873753,0.7950807579088045,6833,107,1.229624183421849,0.21334244086943435
122,51,M,3,Graduate,Married,$80K - $120K,Blue,37,3,2,4,12119.534122726514,784,11335.534122726514,0.8856953479013834,4366,52,0.0,0.2686232460999131
123,38,F,5,Graduate,Divorced,$60K - $80K,Blue,16,3,3,2,5397.247606617824,1871,3526.247606617824,0.3362511571160513,1771,41,2.478823010951746,0.0
124,40,F,2,College,Married,Unknown,Blue,54,4,3,4,7104.598183935657,377,6727.598183935657,1.4171919607540604,635,10,1.2923662273989156,0.3423646831913507
125,40,F,5,Post-Graduate,Married,Unknown,Blue,37,1,3,4,10370.663080607186,1052,9318.663080607186,1.3073093978579902,1972,36,0.6385724128758896,0.007607260572101732
126,58,F,0,Post-Graduate,Divorced,$80K - $120K,Silver,17,4,0,2,19538.498457813417,0,19538.498457813417,0.0,6627,114,0.7385612376206361,0.1634770704375222
127,41,M,1,Graduate,Single,Less than $40K,Blue,33,3,4,6,23341.1699780426,914,22427.1699780426,1.5120742578652338,5405,107,0.0,0.06744542182736357
128,41,M,3,College,Married,$40K - $60K,Blue,28,3,4,5,5706.821132970761,1530,4176.821132970761,0.5322226271488817,3307,54,0.0,0.32143561418484334
129,35,M,3,College,Married,Unknown,Blue,56,4,2,3,8199.698870658049,0,8199.698870658049,0.0,9787,127,0.0,0.14443723848276566
130,44,M,1,Graduate,Married,$80K - $120K,Blue,35,3,5,5,1438.3,58,1380.3,0.994406201512851,5468,76,2.4506147070186493,0.15065267779113445
131,42,F,3,Uneducated,Single,$80K - $120K,Blue,49,6,0,2,1438.3,0,1438.3,0.0,11774,119,1.1919220419496663,0.8397415018844265
132,44,F,1,Doctorate,Married,$40K - $60K,Blue,51,4,1,1,15913.04860850535,784,15129.04860850535,0.0,1892,44,1.6290322044824976,0.3418817218848644
133,50,M,1,High School,Unknown,$40K - $60K,Silver,31,4,3,5,17326.28156674231,842,16484.28156674231,0.0,4724,66,0.0,0.0
134,43,F,4,Graduate,Married,Less than $40K,Blue,23,2,0,4,4365.7605881717645,1566,2799.7605881717645,1.7215772125789348,1381,24,0.0,0.3441460061916436
135,47,M,4,High School,Divorced,Less than $40K,Blue,37,4,1,3,8848.077289455889,364,8484.077289455889,1.8396879147889291,1215,27,0.1547760658149776,0.2660605279228068
136,54,F,0,Graduate,Married,Less than $40K,Blue,28,4,3,1,6875.420865859771,509,6366.420865859771,0.0,3197,51,2.0630711059159994,0.0
137,43,M,0,Graduate,Married,Less than $40K,Blue,13,2,5,0,5149.960068607723,451,4698.960068607723,0.0,2714,33,0.0,0.2605083716264438
138,43,M,4,College,Single,$80K - $120K,Blue,39,5,2,4,5397.098349674607,580,4817.098349674607,1.2670321407948957,4114,60,0.26607092326849835,0.0
139,42,M,4,Uneducated,Married,Less than $40K,Blue,33,2,2,4,22913.738330873268,1035,21878.738330873268,0.0,1815,20,1.5452821620591277,0.6086067456066491
140,45,F,2,Uneducated,Single,$60K - $80K,Blue,31,3,6,1,3524.9730918999066,1354,2170.9730918999066,1.2283964880648024,6321,69,0.5778208790916961,0.0
141,42,M,4,Unknown,Married,Less than $40K,Blue,28,1,1,0,1438.3,0,1438.3,0.7239926666848673,1940,28,0.8447792359762247,0.3030202254890485
142,51,M,3,Unknown,Married,$40K - $60K,Blue,19,5,6,4,17059.889054348307,1971,15088.889054348307,0.0,1885,24,1.8997083351567863,0.0
143,51,F,1,High School,Divorced,$80K - $120K,Blue,46,3,3,2,10699.478205426522,0,10699.478205426522,2.2753351086116496,4506,61,0.0,0.4777481710261905
144,35,M,5,Graduate,Single,$80K - $120K,Blue,36,5,2,4,24456.633686176498,674,23782.633686176498,0.33728613776605876,960,24,1.6016502371897554,0.6577746012833907
145,43,M,3,Graduate,Married,$60K - $80K,Blue,40,2,4,4,18166.398665726854,357,17809.398665726854,0.029353086902344616,5630,100,0.0,0.13182923153210718
146,42,M,2,Uneducated,Married,$80K - $120K,Blue,33,2,3,3,1438.3,416,1022.3,2.192184478668519,3062,47,2.9012478561144848,0.0
147,47,M,2,Graduate,Married,$40K - $60K,Blue,54,6,2,0,18134.093692215218,0,18134.093692215218,0.0,657,10,0.0,0.0
148,48,F,4,High School,Divorced,$60K - $80K,Blue,49,4,1,6,17953.64664349996,0,17953.64664349996,0.0,1136,22,1.9042910524562893,0.3658869283220869
149,42,F,3,Uneducated,Divorced,Less than $40K,Blue,26,2,4,6,13200.279605416947,0,13200.279605416947,3.397,1185,15,1.3069999533785839,0.0
150,50,M,3,Uneducated,Single,$80K - $120K,Gold,35,5,6,2,6494.847332734161,628,5866.847332734161,0.1432709312696906,5312,77,0.0,0.3854995259974123
151,45,M,1,Unknown,Single,Less than $40K,Blue,39,6,3,4,10926.422619164907,1770,9156.422619164907,1.0970815926972257,2737,57,1.4033838663823341,0.6999770678673536
152,54,F,5,Graduate,Married,Less than $40K,Blue,35,6,3,5,10321.992268898392,180,10141.992268898392,0.0,3382,59,1.9143517500366904,0.0029029644676130395
153,57,M,3,Unknown,Divorced,$80K - $120K,Blue,30,4,4,5,1438.3,1041,397.29999999999995,0.0,1970,40,0.1421780556382854,0.03433666640805273
154,32,M,2,Graduate,Married,$40K - $60K,Blue,44,5,5,6,18765.493800398595,975,17790.493800398595,0.0,4501,91,0.5540735158761307,0.0
155,40,M,0,Graduate,Single,Less than $40K,Blue,37,6,3,2,16835.173890108177,58,16777.173890108177,0.0,1722,28,1.5433865552766242,0.7778415011319673
156,60,M,4,Graduate,Single,Less than $40K,Blue,39,3,6,0,17809.432496185058,1506,16303.432496185058,0.200244207559373,2415,44,0.0,0.5615295460696899
157,36,M,4,High School,Married,$40K - $60K,Blue,37,4,4,4,1438.3,0,1438.3,0.0,4862,65,0.6400977608392602,0.08086467671838013
158,51,M,1,High School,Married,$60K - $80K,Blue,28,4,3,4,14468.072778829075,0,14468.072778829075,3.397,790,10,2.19964719301538,0.6206469230862666
159,51,M,5,Doctorate,Married,Less than $40K,Blue,42,4,1,1,11197.834962778215,349,10848.834962778215,0.5947501222465672,560,10,0.4343009424866717,0.0
160,52,F,5,Graduate,Unknown,$40K - $60K,Blue,33,6,2,0,12834.080396478279,946,11888.080396478279,1.979221140057801,2313,69,0.12627553301336641,0.8305606264452301
161,27,F,4,Unknown,Married,$60K - $80K,Silver,48,4,0,1,17541.96719329928,26,17515.96719329928,0.0,3697,49,1.0433541423492356,0.4619016894579972
162,37,F,2,College,Unknown,Less than $40K,Blue,46,1,0,0,8779.635001274351,0,8779.635001274351,0.5406509909581695,4002,65,0.0,0.6138974817567945
163,47,F,4,College,Married,$120K +,Silver,52,3,2,1,27455.62701433841,1505,25950.62701433841,1.0026876113665233,3176,49,0.0,0.6562911032126315
164,53,M,4,Graduate,Single,$60K - $80K,Blue,38,4,2,4,11501.350232258934,2496,9005.350232258934,1.6219842926671537,3800,54,0.0,0.0
165,44,F,5,Graduate,Single,Less than $40K,Blue,30,1,5,4,8881.16020377777,0,8881.16020377777,0.0,3359,70,0.6541443181927185,0.8089534079802528
166,39,M,3,Graduate,Married,Less than $40K,Blue,26,2,5,2,24206.5975731348,833,23373.5975731348,0.0,5815,78,0.4696524662990351,0.0
167,47,F,2,College,Single,$80K - $120K,Gold,31,2,3,1,15018.710833026023,2517,12501.710833026023,1.9298009742944189,785,10,0.8664135018230614,0.0
168,44,M,0,Graduate,Single,Less than $40K,Blue,30,2,1,0,1438.3,0,1438.3,0.04739482508560666,5320,73,0.0,0.0954906412598516
169,58,F,4,Graduate,Married,$60K - $80K,Blue,25,3,4,6,22151.602349505287,881,21270.602349505287,1.8378893950042268,3026,58,0.2589279177507138,0.4426064481470404
170,46,M,0,College,Married,Less than $40K,Blue,28,3,3,0,17542.77966385823,1586,15956.77966385823,0.3428732555653877,3051,46,0.0,0.09354060389195523
